Node,Mutants,Unique Tests,Tests
X06,{'27258'},"{26678, 28151, 28344, 26988, 28254, 29871}","{26678, 28151, 28344, 26988, 28254, 29871}"
X08,{'38003'},"{18032, 18008, 21429}","{18032, 25489, 21429, 18358, 17845, 18008}"
Xb,{'6743'},"{40554, 25930}","{40554, 25930}"
Xc,{'799'},"{29120, 16944, 33955, 29252, 34612, 29332, 29230}","{29120, 16944, 33955, 29252, 34612, 29332, 29230}"
X11,{'41998'},"{4837, 3468, 1998, 6031, 3090, 8500, 8245, 1882}","{4837, 3468, 1998, 6031, 3090, 8500, 8245, 1882}"
X12,{'44269'},"{8352, 7073, 6401, 4100, 20072, 9394, 19796, 26965, 6588}","{8352, 7073, 6401, 4100, 20072, 9394, 19796, 26965, 6588, 11518}"
X14,{'49960'},"{3554, 25330, 5318, 23803, 844, 1118, 5391}","{3554, 25330, 5318, 23803, 844, 1118, 5391}"
X18,{'55624'},"{14464, 22037, 24951}","{14464, 22037, 24951}"
X19,{'46986'},"{676, 38953, 1774, 5038, 5170, 5554, 3000, 38458, 4766}","{676, 38953, 1774, 5038, 5170, 5554, 3000, 38458, 4766}"
X1d,{'48677'},"{19392, 13189, 13743, 16149, 13366, 15038}","{19392, 13379, 13189, 25357, 13743, 16115, 16149, 13366, 15038}"
X1e,{'6336'},"{698, 6418, 20219, 13755}","{698, 6418, 20219, 13755}"
X1f,{'49627'},"{1298, 27468, 7861, 10247}","{1298, 27468, 7861, 10247}"
X20,{'23739'},"{13778, 33675}","{13778, 33675}"
X22,{'20624'},"{16452, 16469, 18806}","{16452, 16469, 18806}"
X23,{'46933'},{51},{51}
X24,{'32238'},"{22444, 40835, 26012, 21885}","{22444, 40835, 26012, 21885}"
X28,{'30534'},"{4948, 37293, 3973}","{4948, 37293, 3973}"
X29,{'47922'},"{16337, 13189, 15039}","{16337, 13189, 18046, 15039}"
X2a,{'46916'},"{1553, 12411}","{1553, 12411}"
X2e,{'59215'},"{9897, 22339, 8951}","{9897, 22339, 8951}"
X31,{'45001'},"{26129, 31586, 25347, 25942, 26281, 41246, 35439}","{26129, 31586, 25347, 25942, 26281, 41246, 35439}"
X32,{'58833'},"{9517, 8334, 14991}","{9517, 8334, 14991}"
X38,{'32967'},"{29120, 33955, 34004, 34612, 29332, 29371, 29230}","{29120, 33955, 34004, 34612, 29332, 29371, 29230}"
X3a,{'27548'},"{27427, 29332, 26574}","{29120, 28850, 27427, 29332, 26574, 29419, 29230}"
X3b,{'37658'},"{7905, 37396, 4662, 37048, 37037}","{7905, 37396, 4662, 37048, 37037}"
X3d,{'46912'},"{13766, 839, 487, 24777, 1423, 6002}","{6002, 487, 13766, 839, 24777, 18046, 1423}"
X3e,{'26444'},"{19392, 14419, 25357, 15038}","{19392, 14419, 16115, 25357, 15038}"
X40,{'32578'},"{25112, 34561, 10922, 10867}","{25112, 34561, 10922, 10867}"
X44,{'25765'},{4136},"{4136, 15628}"
X45,{'58431'},"{1993, 461, 9398}","{1993, 461, 9398}"
X46,{'10017'},"{15080, 9359}","{15080, 9359}"
X47,{'54609'},{21430},{21430}
X48,{'652'},"{5329, 13861, 7182}","{5329, 13861, 7182}"
X4a,{'28352'},"{3554, 6468, 2472, 4624, 8500, 4117, 9398, 6969, 38458}","{3554, 6468, 2472, 4624, 8500, 4117, 9398, 6969, 38458}"
X4b,{'47774'},"{5008, 8500, 8245, 2645}","{5008, 8500, 8245, 2645}"
X4d,{'9085'},"{10062, 10007}","{10062, 10007}"
X4e,{'58552'},"{21714, 9109}","{21714, 9109}"
X4f,{'14381'},"{5777, 13238, 7351, 7592, 2330}","{5777, 13238, 7351, 7592, 2330}"
X50,{'48225'},{34743},"{16750, 16902, 16662, 34743}"
X53,{'3612'},"{3235, 8500, 278, 2681, 5676, 2717, 1628}","{3235, 8500, 278, 2681, 5676, 2717, 1628}"
X55,{'57642'},{9116},"{10273, 25146, 9116}"
X56,{'12599'},"{1, 31234, 2, 5703, 16842, 2892, 25489, 4123, 1628, 4766, 4446, 4706, 676, 38953, 5801, 6315, 7913, 4329, 2483, 1012, 41845, 38458, 36603, 10172}","{1, 31234, 2, 5703, 16842, 15628, 2892, 25489, 4123, 1628, 4766, 4446, 4706, 676, 38953, 5801, 6315, 7913, 4329, 2483, 1012, 41845, 38458, 36603, 10172}"
X57,{'36022'},"{6720, 8549, 7015, 16842, 9420, 5980, 6877, 9374}","{6720, 8549, 7015, 16842, 9420, 5980, 6877, 9374}"
X58,{'42853'},"{9312, 571, 4672}","{9312, 571, 4672}"
X5a,{'32509'},"{2339, 14215, 5032, 6217, 1434, 9650, 3412, 31992, 8442}","{2339, 14215, 5032, 6217, 1434, 9650, 3412, 31992, 8442}"
X5b,"{'27161', '40013'}",{36301},"{36603, 36301, 36463}"
X5d,{'31174'},"{14833, 27846, 5639, 6973, 5198, 1279}","{14833, 27846, 5639, 6973, 5198, 1279}"
X5f,{'8025'},"{10082, 23238, 710, 35867, 20970, 16842, 4080, 7992, 8152, 9374, 10172, 3485, 23294, 13727}","{10082, 23238, 710, 35867, 20970, 16842, 4080, 7992, 8152, 9374, 10172, 3485, 23294, 13727}"
X61,{'12416'},"{6810, 6739, 33148, 6334}","{6810, 6739, 33148, 6334}"
X62,{'59827'},{40835},"{40835, 26087}"
X67,{'3203'},"{33955, 29286, 29030, 29576, 29032, 25804, 29230, 18896, 17074, 34612, 34004, 29433, 26174}","{33955, 29286, 29030, 29576, 29032, 25804, 29230, 18896, 29042, 17074, 34612, 34004, 29433, 26174}"
X68,{'3799'},{29669},{29669}
X6c,{'54424'},"{19338, 6462, 21071}","{6911, 4248, 2601, 19338, 6922, 6462, 21071}"
X6d,{'55148'},"{24896, 27828, 30916, 24598}","{24896, 27828, 30916, 24598}"
X6e,{'27899'},"{32699, 33836}","{32699, 33836}"
X6f,{'24466'},"{16842, 9598, 7671}","{16842, 9598, 7671}"
X70,{'56071'},"{19931, 22420, 18565, 22167}","{19931, 22420, 18565, 22167}"
X71,{'17247'},"{29272, 36603, 40726}","{29272, 36603, 35220, 40726}"
X73,{'59786'},{7684},"{7684, 16232, 15784, 20970, 10539, 25357, 7343, 10768, 15700}"
X74,{'18236'},"{676, 3655, 3018, 4938, 4766, 5711}","{676, 3655, 3018, 4938, 4766, 5711}"
X7d,{'22982'},"{7432, 23913, 11369, 2489, 8012, 11375, 26288, 13273, 12444}","{7432, 23913, 11369, 2489, 8012, 11375, 26288, 13273, 12444}"
X7f,{'5969'},{18166},"{18241, 18166, 36665, 18523, 18395}"
X81,{'42659'},"{6385, 438, 21374, 6655}","{6385, 438, 21374, 6655}"
X84,{'14885'},"{8152, 10450, 11117}","{8152, 10450, 11117}"
X87,{'29557'},"{1810, 21255, 8821, 4503}","{4503, 1810, 8821, 21255, 16920}"
X8e,{'11897'},"{17507, 29510}","{17507, 29510}"
X90,{'37976'},"{12208, 264, 16070, 13350, 21416, 1322, 11578}","{12208, 264, 16070, 13350, 21416, 1322, 11578}"
X91,{'55622'},"{22309, 23223}","{22309, 23223}"
X95,{'59647'},{16112},"{19392, 15361, 16112}"
X96,{'21881'},{31992},"{5248, 14215, 1423, 1784, 25489, 13844, 1172, 12062, 26270, 8352, 9374, 4898, 676, 17703, 14508, 6060, 29872, 26288, 9394, 11572, 16822, 36665, 18241, 16068, 198, 23238, 32248, 24777, 839, 20555, 9420, 2252, 19796, 33492, 26965, 4180, 32085, 8152, 18395, 1628, 18399, 487, 20072, 7913, 22129, 31992, 21374}"
X98,{'50707'},"{11572, 25357, 23238}","{8004, 23238, 7814, 3145, 9420, 25357, 10416, 11572, 2975}"
X9a,{'22761'},"{94, 3687}","{1728, 6625, 8978, 3687, 4219, 94}"
X9f,{'14947'},"{4449, 990, 36951}","{4449, 990, 36951}"
Xa1,{'7207'},"{18773, 19101}","{18916, 19101, 18773}"
Xa3,"{'37766', '37765'}","{5752, 5363, 2135, 87}","{5752, 5363, 2135, 87}"
Xa6,{'58979'},"{10978, 24166, 9259, 10926, 13075, 23732, 11706, 22395}","{10978, 24166, 9259, 10926, 13075, 23732, 11706, 22395}"
Xa9,{'26531'},"{11432, 30041}","{11432, 30041}"
Xaa,{'27902'},"{33849, 31737}","{33849, 31737}"
Xab,{'1218'},{38872},{38872}
Xac,{'14886'},"{19392, 25357, 9486, 10322, 8152, 11290, 11581, 10687}","{19392, 25357, 9486, 10322, 8152, 11290, 11581, 10687}"
Xae,{'5781'},{34651},{34651}
Xb0,{'5742'},"{14019, 7075, 6470, 5447, 5370, 5806, 10002, 5850, 8282, 35867}","{14019, 7075, 6470, 5447, 5370, 15628, 5806, 10002, 5850, 8282, 35867}"
Xb3,{'39822'},"{7144, 1354, 5436, 3462}","{1525, 3462, 7144, 1354, 5436}"
Xb4,{'42632'},"{38208, 23200, 6049, 1861, 9897, 25645, 23317, 22647, 9374}","{38208, 23200, 6049, 1861, 9897, 6252, 25645, 23317, 22647, 9374}"
Xb7,{'18536'},"{23238, 16842, 9420, 3283, 16149, 8152, 35867, 9374, 13727, 17703, 3047, 25645, 11572, 1012, 22647, 10172, 23294}","{23238, 16842, 9420, 3283, 16149, 8152, 35867, 9374, 13727, 17703, 3047, 25645, 11572, 1012, 22647, 10172, 23294}"
Xb8,{'38995'},"{7073, 19490, 16003, 4100, 28485, 689}","{7073, 19490, 16003, 4100, 28485, 689}"
Xbc,{'28348'},"{7120, 18757, 36791, 38458, 1709, 1598}","{7120, 18757, 36791, 38458, 1709, 1598}"
Xbd,{'25874'},"{16068, 1094, 6418, 13844, 6292, 33492, 19796, 26965, 26270, 11039, 8352, 4004, 20072, 14508, 29872, 26288, 9394, 4727, 32248, 3770, 21374}","{16068, 1094, 6418, 13844, 6292, 33492, 19796, 26965, 26270, 11039, 8352, 4004, 20072, 14508, 29872, 26288, 9394, 4727, 32248, 3770, 21374}"
Xbe,{'46913'},"{4324, 6613, 3483, 39467, 4478}","{4324, 6613, 3483, 39467, 4478}"
Xbf,{'28690'},"{2433, 9223, 29576, 34004, 1493, 5976, 12062, 33955, 10536, 1512, 744, 29230, 32755, 34612, 10805, 8181, 1653}","{2433, 9223, 29576, 34004, 1493, 5976, 12062, 33955, 10536, 1512, 744, 29230, 32755, 34612, 10805, 8181, 1653}"
Xc4,{'15687'},{3482},"{5989, 4457, 6124, 2941, 8661, 213, 3482, 8189, 766}"
Xc6,{'32354'},{494},{494}
Xc8,{'56926'},{18399},"{17817, 18050, 18527, 18399}"
Xc9,{'7937'},"{24521, 23666, 8091}","{24521, 23666, 8091, 7590}"
Xcb,{'55008'},"{35164, 10309}","{35164, 10309}"
Xcc,{'43032'},{3707},{3707}
Xcd,{'34460'},"{4642, 36132, 2637, 3214, 3669, 40726, 36603, 2684, 18399}","{4642, 36132, 2637, 3214, 3669, 40726, 36603, 2684, 18399}"
Xce,{'5772'},"{8659, 8749}","{8659, 8749}"
Xd1,{'33283'},"{19392, 22339, 6406, 23238, 16842, 9420, 25357, 23294, 8152, 35867, 9374, 13727, 10082, 2982, 17703, 7913, 20970, 5294, 6639, 11572, 2357, 10172, 15038}","{19392, 22339, 6406, 23238, 16842, 9420, 25357, 23294, 8152, 35867, 9374, 13727, 10082, 2982, 17703, 7913, 20970, 5294, 6639, 16115, 11572, 2357, 10172, 15038}"
Xd2,{'28584'},"{18241, 25489, 18395, 36665}","{18241, 22339, 23238, 16842, 9420, 2638, 23294, 25489, 5847, 8152, 35867, 18395, 9374, 13727, 10082, 2982, 17703, 7913, 20970, 11572, 36665, 10172, 894}"
