Node,Mutants,Unique Tests,Tests
X03,{'2489'},"{4513, 323, 2886, 1321, 1917, 2063, 434, 7579, 7291, 4925}","{4513, 323, 2886, 1321, 1917, 2063, 434, 7579, 7291, 4925}"
X05,{'1248'},{3701},{3701}
Xa,{'7175'},"{8233, 8251}","{8233, 8251}"
Xb,{'7185'},"{993, 4677, 1292, 1199, 1777, 5075, 5045, 377, 2876, 3199}","{993, 4677, 1292, 1199, 1777, 5075, 5045, 377, 2876, 3199}"
Xd,{'1633'},"{8298, 9179, 8294}","{8298, 9179, 8294}"
Xe,{'123'},"{1860, 7530, 139, 429, 7602, 914, 693, 790, 1015, 729, 10045}","{1860, 7530, 139, 429, 7602, 914, 693, 790, 1015, 729, 10045}"
X11,{'1331'},"{8299, 8301, 9179, 9397}","{8299, 8301, 9179, 9397}"
X13,{'1384'},"{4677, 1093, 7688, 7562, 5006, 1296, 4433, 5075, 790, 9174, 5846, 1112, 8863, 8095, 6177, 5859, 6763, 4716, 6445, 3892, 5045, 6775, 120, 6330, 703}","{4677, 1093, 7688, 7562, 5006, 1296, 4433, 5075, 790, 9174, 5846, 1112, 8863, 8095, 6177, 5859, 6763, 4716, 6445, 3892, 5045, 6775, 120, 6330, 703}"
X14,{'232'},"{6913, 7651, 2597, 8142, 6800, 8274, 1620, 4502, 7034, 7579}","{6913, 7651, 2597, 8142, 6800, 8274, 1620, 4502, 7034, 7579}"
X1a,{'1359'},{1247},"{8299, 1247}"
X1b,{'3752'},"{1249, 4741, 154, 9935, 2259, 5972, 9720, 8026, 1627}","{1249, 4741, 154, 9935, 2259, 5972, 9720, 8026, 1627}"
X1d,{'10077'},"{8291, 9179, 8294}","{8291, 9179, 8294}"
X1e,{'4359'},"{1249, 154, 7530, 6190, 9935, 5972, 9720, 8026, 5596, 6972, 1887}","{1249, 154, 7530, 6190, 9935, 5972, 9720, 8026, 5596, 6972, 1887}"
X20,{'519'},"{8291, 9179, 9087}","{8291, 9179, 9087}"
X27,{'7213'},"{993, 4677, 7258, 2876, 3199, 2031}","{993, 4677, 7258, 2876, 3199, 2031}"
X29,{'5362'},"{642, 578, 4677, 1290, 8142, 2063, 5075, 4695, 7832, 7000, 4568, 1497, 7579, 4513, 5045, 4925}","{642, 578, 4677, 1290, 8142, 2063, 5075, 4695, 7832, 7000, 4568, 1497, 7579, 4513, 5045, 4925}"
X2a,{'5824'},"{9397, 8302, 8287}","{9397, 8302, 8287}"
X2b,"{'10371', '1787'}","{8299, 8290, 9179, 8292}","{8299, 8290, 9179, 8292}"
X30,{'1243'},"{138, 6766}","{138, 6766}"
X36,{'203'},"{4513, 2886, 7291, 8142, 786, 2259, 7832, 7579, 1917, 1437}","{4513, 2886, 7291, 8142, 786, 2259, 7832, 7579, 1917, 1437}"
X3c,{'676'},"{7237, 1318}","{7237, 1318}"
X3f,{'7209'},"{4673, 4370, 1145, 377, 1755, 6397}","{4673, 4370, 1145, 377, 1755, 6397}"
X40,{'12595'},"{1892, 932, 2761, 2604, 478}","{1892, 932, 2761, 2604, 478}"
X41,{'9169'},"{8299, 9397, 8287}","{8299, 9397, 8287}"
X45,{'12363'},{5078},"{2481, 5078}"
X46,{'1480'},"{1760, 304, 610, 1491, 6202, 1484}","{1760, 304, 610, 1491, 6202, 1484}"
X47,{'8549'},"{8288, 8291, 8298, 9179}","{8288, 8291, 8298, 9179}"
X4b,{'6794'},"{8298, 9087}","{8298, 9087}"
X4e,{'9186'},"{2505, 2539, 5037}","{2505, 2539, 5037}"
X51,{'124'},"{8295, 9128, 8297, 8299, 8301, 8302, 9276, 8286}","{8295, 9128, 8297, 8299, 8301, 8302, 9276, 8286}"
X54,{'755'},{2550},"{2530, 2549, 2550, 7579, 4925, 7291}"
X55,{'1800'},"{1831, 4904, 1289, 360, 746, 8274, 5075, 1876, 5045, 9174, 4695, 9720, 1525}","{1831, 4904, 1289, 360, 746, 8274, 5075, 1876, 5045, 9174, 4695, 9720, 1525}"
X57,{'10640'},"{1706, 1510, 2063}","{1706, 1510, 2063}"
X58,{'10139'},"{2097, 2483, 2165, 2006, 2151, 2157}","{2097, 2483, 2165, 2006, 2151, 2157}"
X59,{'1474'},"{7171, 7497, 5006, 8142, 4433, 790, 8921, 1370, 7258, 1882, 606, 1760, 6177, 7654, 6330, 4716, 559, 4786, 1395, 3892, 8117, 6775, 6202, 1532, 189, 1534}","{7171, 7497, 5006, 8142, 4433, 790, 8921, 1370, 7258, 1882, 606, 1760, 6177, 7654, 6330, 4716, 559, 4786, 1395, 3892, 8117, 6775, 6202, 1532, 189, 1534}"
X5a,{'5785'},"{154, 1831, 681, 760, 2483, 563, 4695, 9720, 4794}","{154, 1831, 681, 760, 2483, 563, 4695, 9720, 4794}"
X5b,{'12769'},{9128},"{8290, 9128, 8286, 9179, 8302}"
X5c,"{'1385', '12754'}","{8298, 8291, 8294}","{8298, 8291, 8294}"
X60,{'7216'},"{2031, 2645, 1590, 5045}","{2645, 1590, 5045, 1754, 2031}"
X61,{'2497'},"{642, 4677, 2886, 4925, 8142, 2063, 1104, 786, 5075, 4695, 7832, 7000, 4513, 1706, 5045, 7291, 1917}","{642, 4677, 2886, 4925, 8142, 2063, 1104, 786, 5075, 4695, 7832, 7000, 4513, 1706, 5045, 7291, 1917}"
X63,{'4081'},"{4513, 2886, 1290, 7291, 8142, 2063, 8274, 820, 4695, 7832, 7579}","{4513, 2886, 1290, 7291, 8142, 2063, 8274, 820, 4695, 7832, 7579}"
X67,{'6693'},"{8295, 9128, 8297, 8299, 8301, 8302, 9179, 9276, 8287}","{8295, 9128, 8297, 8299, 8301, 8302, 9179, 9276, 8287}"
X6a,{'2513'},"{786, 4695}","{4513, 323, 2886, 7291, 2063, 786, 434, 4695, 7832, 7579, 1917}"
X6b,{'1531'},"{7688, 8457, 4621, 2063, 790, 9501, 8479, 6177, 810, 6445, 3634, 3892, 6710, 6202, 6972, 573, 5694, 4925, 10045, 2366, 4677, 2886, 1608, 7497, 4433, 8274, 2131, 5972, 2647, 4695, 7258, 8026, 7262, 1631, 1120, 3433, 7530, 6763, 4716, 1900, 6775, 8824, 7291, 4741, 7562, 4491, 2956, 5006, 8592, 3991, 7832, 7579, 9119, 8095, 4513, 1961, 1449, 1962, 940, 8877, 4786, 7602, 8117, 5045, 6330, 8639, 960, 2761, 8142, 9935, 5075, 5846, 9174, 4568, 8921, 987, 5852, 1760, 2275, 7654, 6634, 9707, 5111, 9720, 7931}","{7688, 8457, 4621, 2063, 790, 9501, 8479, 6177, 810, 6445, 3634, 3892, 6710, 6202, 6972, 573, 5694, 4925, 10045, 2366, 4677, 2886, 1608, 7497, 4433, 8274, 2131, 5972, 2647, 4695, 7258, 8026, 7262, 1631, 1120, 3433, 7530, 6763, 4716, 1900, 6775, 8824, 7291, 4741, 7562, 4491, 2956, 5006, 8592, 3991, 7832, 7579, 9119, 8095, 4513, 1961, 1449, 1962, 940, 8877, 4786, 7602, 8117, 5045, 6330, 8639, 960, 2761, 8142, 9935, 5075, 5846, 9174, 4568, 8921, 987, 5852, 1760, 2275, 7654, 6634, 9707, 5111, 9720, 7931}"
X6d,{'1757'},"{2483, 6710, 1271, 1608, 9707, 1343}","{2483, 6710, 1271, 1608, 9707, 1343}"
X71,{'5110'},"{8293, 8295, 9128, 8297, 8299, 8301, 8302, 9179, 8287}","{8293, 8295, 9128, 8297, 8299, 8301, 8302, 9179, 8287}"
X75,{'5104'},{8296},"{8296, 8294, 9179, 8286}"
X78,{'11866'},"{4677, 389, 940, 5006, 1746, 5075, 5045, 2647, 7000, 6202}","{4677, 389, 940, 5006, 1746, 5075, 5045, 2647, 7000, 6202}"
X7b,{'5336'},"{8299, 9179, 8301, 8286}","{8299, 9179, 8301, 8286}"
X7c,{'5101'},"{4513, 6763, 4491, 665, 979, 2389, 4568, 1561, 8639}","{4513, 6763, 4491, 665, 979, 2389, 4568, 1561, 8639}"
X7d,"{'2508', '9413', '1627'}","{8293, 8295, 9128, 8297, 8299, 8301, 8302, 9276, 8287}","{8293, 8295, 9128, 8297, 8299, 8301, 8302, 9276, 8287}"
X80,{'5818'},"{4370, 7034, 7526}","{4370, 1475, 7526, 1145, 7034, 6397}"
X83,"{'5835', '5834'}","{170, 1885, 2802}","{993, 4677, 170, 1292, 1869, 2031, 2802, 5075, 2645, 5045, 7258, 1885, 3199}"
X84,{'5836'},"{8290, 8295, 9128, 8297, 8301, 8302, 9179, 9276, 8287}","{8290, 8295, 9128, 8297, 8301, 8302, 9179, 9276, 8287}"
X85,{'5361'},"{8290, 9179, 8299, 8286, 8287}","{8290, 9179, 8299, 8286, 8287}"
X8b,{'11829'},"{8295, 8301, 8286, 8287}","{8295, 8301, 8286, 8287}"
X8d,{'1233'},"{8293, 9128, 8297, 8302, 9395, 9179, 9276, 8287}","{8293, 9128, 8297, 8302, 9395, 9179, 9276, 8287}"
X8e,{'5091'},"{1648, 8532, 2230, 1383, 682, 4669}","{1648, 8532, 2230, 1383, 682, 4669}"
X8f,"{'5816', '5815'}","{1571, 389, 1961, 5515, 523, 1869, 2036, 2645, 4317}","{1571, 389, 1961, 5515, 523, 1869, 2036, 2645, 4317}"
X92,{'10362'},"{8299, 8292, 8286, 8287}","{8299, 8292, 8286, 8287}"
X93,{'5812'},"{8299, 9179, 8293, 8286}","{8299, 9179, 8293, 8286}"
X94,{'1532'},"{7832, 7579, 308, 7231}","{7832, 7579, 308, 7231}"
X97,{'1755'},"{1706, 211, 1715, 2063}","{1706, 211, 1715, 2063}"
X99,{'11865'},"{5075, 1108, 2483, 5045, 1255, 360, 911}","{5075, 1108, 2483, 5045, 1255, 360, 911}"
X9a,{'9429'},"{1568, 1571, 488, 6634, 7291, 8142, 465, 2036, 1621, 2647, 7832, 7579, 4317}","{1568, 1571, 488, 6634, 7291, 8142, 465, 2036, 1621, 2647, 7832, 7579, 4317}"
X9c,{'10617'},"{9128, 8297, 8301, 8302, 9395, 9179, 9276, 8286, 8287}","{9128, 8297, 8301, 8302, 9395, 9179, 9276, 8286, 8287}"
X9d,{'1271'},"{8291, 8295, 9128, 8297, 8302, 9395, 9179, 9276}","{8291, 8295, 9128, 8297, 8302, 9395, 9179, 9276}"
Xa1,{'1469'},"{8290, 9179, 8301, 8298}","{8290, 9179, 8301, 8298}"
Xa3,{'11604'},"{4513, 1249, 5859, 5894, 7291, 8142, 9935, 2063, 19, 443, 4695, 1081, 154, 987, 10045}","{4513, 1249, 5859, 5894, 7291, 8142, 9935, 2063, 19, 443, 4695, 1081, 154, 987, 10045}"
Xa5,{'5831'},"{4677, 4049, 4370, 5075, 660, 5045, 2357, 403, 2520, 1713, 3514, 2136}","{4677, 4049, 4370, 5075, 660, 5045, 2357, 403, 2520, 1713, 3514, 2136}"
