Node,Mutants,Unique Tests,Tests
X03,{'5737'},{19},"{1280, 2049, 2, 2563, 2564, 769, 3078, 523, 3089, 3090, 19, 2580, 278, 2071, 2584, 281, 2040, 799, 803, 2043, 1579, 300, 45, 1071, 2098, 2611, 2610, 3124, 2102, 1842, 2104, 306, 1332, 1595, 2867, 319, 2367, 1348, 1607, 3144, 3149, 2126, 1359, 3152, 851, 604, 1373, 1896, 2665, 2157, 1901, 367, 2162, 1651, 1912, 1401, 2173, 389, 2699, 2188, 2956, 2970, 922, 413, 2719, 2983, 2728, 427, 1714, 1716, 1717, 695, 1725, 1471, 1986, 1474, 1988, 1477, 966, 3017, 202, 462, 719, 2769, 2001, 730, 2779, 221, 2784, 1505, 995, 228, 998, 233, 1770, 2537, 1002, 1773, 1521, 1010, 3059, 1015, 2296, 1787, 511}"
X07,{'11031'},"{547, 803, 1037}","{547, 803, 1037}"
Xa,{'13598'},"{2018, 276, 440, 3017, 282, 11}","{2018, 276, 440, 3017, 282, 11}"
Xd,{'10261'},"{512, 654}","{512, 769, 654}"
X15,{'19709'},"{2563, 313, 2157, 1071, 2610, 2580, 121}","{769, 2563, 3078, 523, 1037, 3089, 3090, 2580, 278, 2071, 799, 803, 1071, 306, 2610, 3124, 2867, 2104, 313, 2367, 3144, 3149, 2126, 78, 3152, 851, 604, 2665, 2157, 367, 2162, 121, 2173, 905, 2699, 2188, 2956, 2970, 922, 2719, 2983, 167, 427, 695, 1988, 966, 3017, 202, 462, 719, 2001, 981, 730, 2779, 2784, 995, 998, 233, 1002, 1010, 3059, 1015, 2043, 511}"
X18,{'19659'},"{422, 428, 429, 2157, 1071, 175, 14, 121, 218, 62}","{422, 428, 429, 2157, 1071, 175, 14, 121, 218, 62}"
X19,{'19660'},"{3089, 2563, 355, 55, 2840, 316, 223}","{3089, 2563, 355, 55, 2840, 316, 223}"
X1b,{'8280'},"{2104, 2013, 3149}","{2104, 2013, 3149}"
X1c,{'19323'},"{769, 3078, 905, 523, 2699, 2956, 1037, 3089, 2961, 3090, 278, 2071, 2970, 922, 2078, 2719, 799, 803, 2214, 2983, 427, 2993, 1969, 2867, 3124, 695, 2104, 2874, 1988, 966, 3144, 3017, 1608, 3149, 2126, 719, 462, 2001, 3152, 851, 2644, 981, 2138, 2779, 604, 730, 2784, 96, 2274, 995, 483, 998, 233, 2665, 1002, 367, 2162, 3059, 1010, 1015, 2043, 2173}","{769, 3078, 905, 523, 2699, 2956, 1037, 3089, 2961, 3090, 278, 2071, 2970, 922, 2078, 2719, 799, 803, 2214, 2983, 427, 2993, 1969, 2867, 3124, 695, 2104, 2874, 1988, 966, 3144, 3017, 1608, 3149, 2126, 719, 462, 2001, 3152, 851, 2644, 981, 2138, 2779, 604, 730, 2784, 96, 2274, 995, 483, 998, 233, 2665, 1002, 367, 2162, 3059, 1010, 1015, 2043, 2173}"
X20,{'19666'},"{3089, 18, 2563, 132, 74, 428, 429}","{3089, 18, 2563, 132, 74, 428, 429}"
X25,{'13412'},"{2331, 3149}","{2331, 3149, 2358}"
