Node,Mutants,Unique Tests,Tests
X03,"{'238', '8465', '8534'}","{3215, 2447, 3089, 2710, 2583, 3096, 670, 798, 160, 2590, 3231, 2595, 3628, 2476, 431, 688, 2743, 4023, 1466, 2751, 1090, 451, 199, 3401, 2763, 974, 3794, 342, 473, 474, 3550, 95, 3681, 2530, 3300, 113, 2035, 3444, 2812}","{5, 3338, 511, 3086, 3089, 3607, 3096, 2583, 280, 1818, 2590, 798, 32, 544, 2595, 550, 3371, 3628, 44, 309, 3899, 1340, 1090, 67, 1347, 3141, 328, 3145, 3658, 3401, 2379, 84, 1621, 342, 2905, 859, 3164, 605, 95, 3681, 3691, 623, 113, 1906, 3444, 119, 1399, 889, 1666, 3971, 1926, 3207, 1672, 1161, 2699, 2189, 3215, 2447, 146, 3731, 2710, 2454, 152, 409, 1946, 1948, 670, 3231, 160, 1695, 4004, 2476, 685, 1965, 431, 688, 2740, 1204, 2743, 4023, 3257, 1466, 443, 2751, 2242, 451, 199, 970, 2763, 1229, 1230, 974, 3794, 2006, 2264, 473, 474, 3550, 2530, 3300, 2535, 1256, 3050, 1267, 2035, 1781, 3572, 3063, 2552, 2812, 510, 3839}"
X04,"{'11551', '11550', '11548'}","{2447, 3215, 3089, 2710, 2583, 3096, 2590, 798, 160, 670, 3231, 2595, 3628, 2476, 431, 688, 2743, 4023, 1466, 2751, 1090, 451, 199, 3401, 2763, 974, 3794, 342, 473, 474, 3550, 95, 3681, 2530, 3300, 113, 2035, 3444, 2812}","{5, 3338, 511, 3086, 3089, 3607, 3096, 2583, 280, 1818, 2590, 798, 32, 544, 2595, 550, 3371, 3628, 44, 309, 3899, 1340, 316, 1090, 67, 1347, 3141, 328, 3145, 3658, 3401, 2379, 84, 1621, 342, 2905, 859, 3164, 605, 95, 3681, 3691, 623, 113, 1906, 3444, 119, 1399, 889, 1666, 3971, 1926, 3207, 1672, 1161, 2699, 2189, 3215, 2447, 146, 3731, 2710, 2454, 152, 1946, 1948, 670, 3231, 160, 1695, 4004, 2476, 685, 1965, 431, 688, 2740, 1204, 2743, 4023, 3257, 1466, 443, 2751, 2242, 451, 199, 970, 2763, 1229, 1230, 974, 3794, 2006, 2264, 473, 474, 3550, 2530, 3300, 2535, 1256, 3050, 1267, 2035, 1781, 3572, 3063, 2552, 2812, 510, 3839}"
X06,{'4027'},"{3956, 3853, 3916}","{3956, 3853, 3916}"
X11,{'4764'},"{1969, 2098, 3063, 3141, 470, 3207, 1865}","{1969, 2098, 3063, 3141, 470, 3207, 1865}"
X13,{'3952'},"{1284, 5, 3338, 511, 3089, 1298, 2583, 3096, 1818, 539, 2590, 798, 32, 544, 2595, 3628, 2355, 309, 3899, 1340, 1090, 1347, 3141, 328, 3401, 2379, 84, 1621, 342, 2905, 859, 3164, 605, 95, 3681, 3691, 623, 113, 1906, 3444, 119, 1399, 889, 1666, 3971, 1926, 3207, 1672, 1161, 2699, 2701, 2189, 3215, 2447, 146, 3731, 2710, 152, 1946, 1948, 670, 3231, 160, 1695, 4004, 2476, 685, 1965, 431, 688, 2740, 1204, 2743, 4023, 3257, 1466, 443, 2751, 2242, 451, 199, 970, 2763, 1229, 1230, 974, 3794, 2006, 470, 2264, 473, 474, 3550, 2530, 3300, 1256, 3050, 1267, 2035, 1781, 3572, 3063, 2552, 2812, 509, 3839}","{1284, 5, 3338, 511, 3089, 1298, 2583, 3096, 1818, 539, 2590, 798, 32, 544, 2595, 3628, 2355, 309, 3899, 1340, 1090, 1347, 3141, 328, 3401, 2379, 84, 1621, 342, 2905, 859, 3164, 605, 95, 3681, 3691, 623, 113, 1906, 3444, 119, 1399, 889, 1666, 3971, 1926, 3207, 1672, 1161, 2699, 2701, 2189, 3215, 2447, 146, 3731, 2710, 152, 1946, 1948, 670, 3231, 160, 1695, 4004, 2476, 685, 1965, 431, 688, 2740, 1204, 2743, 4023, 3257, 1466, 443, 2751, 2242, 451, 199, 970, 2763, 1229, 1230, 974, 3794, 2006, 470, 2264, 473, 474, 3550, 2530, 3300, 1256, 3050, 1267, 2035, 1781, 3572, 3063, 2552, 2812, 509, 3839}"
X14,{'16653'},"{780, 2261, 2990}","{780, 2261, 2990}"
X16,{'739'},"{1666, 2242, 451, 1161, 2763, 2189, 1229, 1230, 146, 3731, 2264, 1946, 1948, 798, 95, 32, 4004, 1256, 685, 688, 1267, 2740, 309, 889, 1466, 1340, 3839}","{1666, 3971, 1672, 1161, 3338, 2189, 146, 3731, 1946, 1948, 798, 1695, 32, 4004, 1965, 685, 688, 2740, 309, 1204, 1466, 3899, 1340, 2242, 451, 2379, 2763, 1229, 1230, 2006, 2264, 2905, 859, 605, 95, 479, 1256, 3050, 623, 497, 1267, 1781, 1399, 889, 3839}"
X20,{'14639'},{4030},{4030}
X22,"{'5100', '5101'}","{1666, 2242, 451, 1161, 2763, 2189, 1229, 1230, 146, 3731, 2264, 1946, 1948, 798, 95, 32, 4004, 1256, 685, 688, 497, 1267, 2740, 309, 889, 1466, 1340, 3839}","{1666, 3971, 1672, 1161, 2189, 146, 3731, 1946, 1948, 28, 798, 1695, 32, 4004, 1965, 685, 688, 2740, 309, 1204, 1466, 3899, 1340, 2242, 451, 2763, 1229, 1230, 2006, 2264, 2905, 859, 605, 95, 1256, 3050, 623, 497, 1267, 1781, 1399, 889, 3839}"
X26,{'3815'},"{112, 1778, 787}","{112, 1778, 787}"
X27,{'2978'},"{3338, 2379, 437, 479}","{3338, 2379, 437, 479}"
X28,"{'10793', '10713'}","{3320, 2834}","{3320, 2834}"
