Node,Mutants,Unique Tests,Tests
X00,{'22804'},{8488},{8488}
X01,{'22801'},"{6626, 10402, 26440, 26057, 6761, 1993, 8810, 8079, 6865, 46294, 33303, 32888, 33119}","{6626, 10402, 26440, 26057, 6761, 1993, 8810, 8079, 6865, 46294, 33303, 32888, 33119}"
X02,{'21211'},"{21985, 6626, 35363, 1993, 8810, 7953, 147, 46294, 28247, 13657, 9980, 8927}","{21985, 6626, 35363, 1993, 8810, 7953, 147, 46294, 28247, 13657, 9980, 8927}"
X03,{'19618'},"{9936, 7953, 6208}","{9936, 7953, 6208}"
X05,{'19620'},"{39012, 26630, 233, 38218, 11245, 14129, 7990, 3511, 4411, 796, 4798}","{39012, 26630, 233, 38218, 11245, 14129, 7990, 3511, 4411, 796, 4798}"
X08,{'34103'},"{6081, 14439, 2985, 3467, 15341, 1837, 3150, 21779, 215}","{6081, 14439, 2985, 3467, 15341, 1837, 3150, 21779, 215}"
Xb,{'68857'},"{8000, 22467, 27911, 16008, 32264, 9544, 10001, 24659, 4182, 33303, 3677, 33119, 5602, 22501, 11245, 26479, 34800, 5104, 19952, 4723, 21112, 23546, 6847}","{8000, 22467, 27911, 16008, 32264, 9544, 10001, 24659, 4182, 33303, 3677, 33119, 5602, 22501, 40, 11245, 26479, 34800, 5104, 19952, 4723, 21112, 23546, 6847}"
Xd,{'26610'},"{18016, 11105, 40359, 1448, 30157, 25463, 21009, 26837, 4533, 31767, 9146, 796, 255}","{18016, 11105, 40359, 1448, 30157, 25463, 21009, 26837, 4533, 31767, 9146, 796, 255}"
X14,{'34272'},"{3152, 5097, 8276, 9717}","{3152, 5097, 8276, 9717}"
X19,{'74040'},"{5730, 2083, 27110, 7079, 7667, 6931, 25461, 30557}","{5730, 2083, 27110, 7079, 7667, 6931, 25461, 30557}"
X1f,{'36707'},"{22307, 16358, 7916, 45041, 10450, 3219, 9818, 29788, 61, 2270}","{22307, 16358, 7916, 45041, 10450, 3219, 9818, 29788, 61, 2270}"
X21,{'79887'},"{3009, 36354, 4163, 10061, 8529, 28634, 10459, 11105, 8673, 22307, 40359, 36523, 7030, 25463, 6778, 27710}","{3009, 36354, 4163, 10061, 8529, 28634, 10459, 11105, 8673, 22307, 40359, 36523, 7030, 25463, 6778, 27710}"
X25,{'80450'},"{17248, 7495, 4249, 28634, 9836, 5693}","{17248, 7495, 4249, 28634, 9836, 5693}"
X29,{'1018'},{26837},"{3138, 8229, 1254, 40359, 32264, 5030, 554, 5579, 26479, 5104, 26837, 42357}"
X2d,{'25912'},"{11861, 7605, 5000, 19657, 2333}","{11861, 7605, 5000, 19657, 2333}"
X30,{'35480'},"{21884, 28638, 35710}","{21884, 28638, 35710}"
X31,{'18000'},"{29938, 18643, 29367, 4729, 215, 1564}","{29938, 18643, 29367, 4729, 215, 1564}"
X34,{'70534'},"{12945, 35481, 34570, 14634, 57, 16702, 4655}","{12945, 35481, 34570, 14634, 57, 16702, 4655}"
X36,{'24612'},"{19096, 6067, 6564}","{19096, 6067, 6564}"
X37,{'64721'},"{8000, 36354, 26630, 27911, 32264, 44362, 24014, 31887, 31952, 18833, 15825, 26837, 4182, 33303, 41881, 36826, 33119, 29478, 1254, 26479, 43953, 5104, 5490, 43894, 21112, 24764}","{8000, 36354, 26630, 27911, 32264, 44362, 24014, 31887, 31952, 18833, 15825, 26837, 4182, 33303, 41881, 36826, 29339, 33119, 226, 29478, 1254, 26479, 31408, 43953, 5104, 5490, 43894, 25463, 21112, 13369, 24764}"
X39,{'79896'},"{43810, 22307, 770, 3686, 6, 24533, 28634, 10331, 29788, 30557, 6847}","{43810, 22307, 770, 3686, 6, 24533, 28634, 10331, 29788, 30557, 6847}"
X3a,{'39421'},"{8336, 36354, 27524, 15508, 7065, 15323}","{8336, 36354, 27524, 15508, 7065, 15323}"
X3b,{'51158'},"{19040, 3809, 27911, 24014, 31887, 2719, 21009, 5490, 5394, 10225, 17497, 3294, 27710, 41791}","{19040, 3809, 27911, 12041, 24014, 31887, 2719, 21009, 5490, 5394, 10225, 17497, 3294, 27710, 41791}"
X3c,{'51154'},"{19040, 3809, 27911, 24014, 31887, 2719, 21009, 5490, 5394, 13108, 10225, 17497, 3294, 27710, 41791}","{19040, 3809, 27911, 24014, 31887, 2719, 21009, 5490, 5394, 13108, 10225, 17497, 3294, 27710, 41791}"
X40,{'1141'},"{26274, 20677, 15911, 15368, 31408, 15028, 15062, 29339}","{26274, 20677, 15911, 15368, 31408, 15028, 15062, 29339}"
X41,{'6733'},"{163, 2213, 8743, 25463, 17234, 13108, 3100, 9917, 19486}","{163, 2213, 8743, 25463, 17234, 13108, 12343, 3100, 9917, 19486}"
X42,{'12454'},"{29478, 30157, 24014, 21009, 45041, 21299, 34107, 15260}","{12041, 2185, 267, 30157, 24014, 21009, 15825, 26837, 3482, 29339, 15260, 18016, 29478, 230, 20973, 31408, 14129, 9840, 21299, 45041, 25463, 34107, 27710, 41791}"
X43,{'49559'},"{14090, 37174}","{14090, 37174}"
X46,{'36822'},"{10609, 21112, 9603, 43511, 3880, 7916}","{10609, 21112, 9603, 43511, 3880, 7916}"
X47,{'49567'},{26324},"{17497, 5490, 26324, 3832, 12041, 27710}"
X48,{'75809'},"{36354, 27911, 16008, 33160, 31887, 18833, 21009, 33303, 41881, 22307, 40359, 36523, 25906, 24377, 27710, 22467, 44362, 38218, 15825, 26837, 4182, 24533, 30426, 28634, 34524, 30557, 3677, 33119, 39012, 23014, 29418, 26479, 5104, 19952, 4723, 7028, 43894, 21112}","{36354, 27911, 16008, 33160, 31887, 18833, 21009, 33303, 41881, 29339, 22307, 40359, 36523, 31408, 25906, 24377, 13369, 27710, 22467, 44362, 38218, 15825, 26837, 4182, 24533, 30426, 28634, 34524, 30557, 3677, 33119, 226, 39012, 23014, 29418, 26479, 5104, 19952, 4723, 7028, 43894, 25463, 21112}"
X49,{'6100'},{20976},"{20976, 28663}"
X4a,{'70786'},"{45041, 10115, 16548, 295, 17064, 6922}","{45041, 10115, 16548, 295, 17064, 6922}"
X4d,{'5504'},"{10592, 7975, 9209, 16187, 3021, 4815}","{10592, 7975, 9209, 16187, 3021, 4815}"
X51,{'36843'},"{28344, 11513, 12664, 2852}","{28344, 11513, 12664, 2852}"
X52,{'16750'},"{27701, 16583}","{27701, 16583}"
X53,{'14550'},"{11691, 11179, 11764, 11992, 3867}","{3867, 11764, 11179, 12374, 11992, 11691}"
X54,{'38592'},"{36354, 2988, 31887, 15825, 8529, 7028, 26837, 21112, 27710, 2719}","{36354, 2988, 31887, 15825, 8529, 7028, 26837, 12374, 21112, 27710, 2719}"
X55,{'59203'},"{17073, 28627, 6150, 21017, 6666, 17727}","{17073, 28627, 6150, 21017, 6666, 17727}"
X56,{'49237'},"{2529, 21986, 16573}","{2529, 21986, 16573}"
X57,{'41432'},{15},"{11441, 15548, 15}"
X59,{'26058'},"{7072, 261}","{7072, 261}"
X5c,{'31189'},"{3139, 5637, 26630, 11245, 10831, 14129, 3923, 796, 2461}","{3139, 5637, 26630, 11245, 10831, 14129, 3923, 796, 2461}"
X5e,{'56619'},"{27298, 22923}","{27298, 22923}"
X61,{'22823'},"{6969, 404, 5030}","{6969, 404, 5030}"
X64,{'5602'},"{36354, 19718, 26630, 16008, 31887, 271, 31767, 33303, 29339, 796, 43037, 43810, 2469, 40359, 1448, 14129, 21299, 34996, 7990, 3511, 24377, 13369, 4411, 34107, 27710, 6847, 3009, 26057, 44362, 13259, 30157, 15825, 46294, 7130, 29788, 30557, 34524, 18016, 226, 39012, 22501, 8427, 26479, 19952, 5104, 4723, 36852, 43511, 21112, 8703}","{36354, 19718, 26630, 16008, 31887, 271, 31767, 33303, 29339, 796, 43037, 43810, 2469, 40359, 1448, 14129, 21299, 34996, 7990, 3511, 24377, 13369, 4411, 34107, 27710, 6847, 3009, 26057, 44362, 13259, 30157, 15825, 46294, 7130, 29788, 30557, 34524, 18016, 226, 39012, 22501, 8427, 26479, 19952, 5104, 4723, 36852, 43511, 21112, 8703}"
X65,{'5593'},"{17410, 21283, 20907, 35710}","{17410, 21283, 20907, 35710}"
X69,{'57408'},"{14129, 15825, 15093, 26837, 34107, 27710, 41791}","{1406, 14129, 15825, 26837, 15093, 250, 34107, 27710, 41791}"
X6c,{'19622'},"{36354, 26630, 38919, 32264, 19718, 27911, 11, 21009, 31767, 33303, 796, 43037, 19486, 43810, 22307, 29478, 7983, 14129, 25906, 21299, 7990, 13369, 24377, 4411, 34107, 27710, 41791, 8000, 4933, 9544, 19274, 44362, 38218, 24659, 4182, 12374, 29788, 3677, 30557, 33119, 18016, 11105, 39012, 26479, 4723, 42357, 43894, 25463, 32888, 21112, 11396, 16008, 33160, 31887, 18833, 37779, 41881, 43930, 29339, 2469, 40359, 1448, 39593, 36523, 31408, 43953, 1458, 34996, 3511, 23482, 9146, 24764, 6847, 3009, 22467, 26057, 5066, 13259, 30157, 24014, 31952, 15825, 26837, 46294, 24533, 30426, 36826, 34524, 28634, 19422, 5602, 22501, 23014, 29418, 8427, 11245, 46573, 20973, 19952, 34800, 45041, 5104, 36852, 19440, 43511, 23546, 8703}","{36354, 26630, 38919, 32264, 19718, 27911, 11, 21009, 31767, 33303, 796, 43037, 19486, 43810, 22307, 29478, 7983, 14129, 25906, 21299, 7990, 13369, 24377, 4411, 34107, 27710, 41791, 8000, 4933, 9544, 19274, 44362, 38218, 24659, 4182, 12374, 29788, 3677, 30557, 33119, 18016, 11105, 39012, 26479, 4723, 42357, 43894, 25463, 32888, 21112, 11396, 16008, 33160, 31887, 18833, 37779, 41881, 43930, 29339, 2469, 40359, 1448, 39593, 36523, 31408, 43953, 1458, 34996, 3511, 23482, 9146, 24764, 6847, 3009, 22467, 26057, 5066, 13259, 30157, 24014, 31952, 15825, 26837, 46294, 24533, 30426, 36826, 34524, 28634, 19422, 5602, 22501, 23014, 29418, 8427, 11245, 46573, 20973, 19952, 34800, 45041, 5104, 36852, 19440, 43511, 23546, 8703}"
X6d,{'80402'},"{6850, 13416, 13497, 29418, 14666}","{6850, 13416, 13497, 29418, 14666}"
X6e,{'8561'},"{4933, 19718, 26630, 16008, 10438, 30157, 31887, 18833, 274, 15825, 26837, 33303, 24377, 29339, 33119, 26479, 31408, 14129, 25906, 4411, 19440, 13369, 34107, 41791}","{4933, 19718, 26630, 16008, 10438, 30157, 31887, 18833, 274, 15825, 26837, 33303, 24377, 29339, 33119, 26479, 31408, 14129, 25906, 4411, 19440, 13369, 34107, 41791}"
X6f,{'79982'},"{770, 2083, 27110, 16358, 29418, 30557}","{770, 2083, 27110, 16358, 40, 29418, 30557}"
X70,{'24382'},"{14400, 14439, 17928, 202, 24014, 21009, 8529, 26837, 29339}","{14400, 14439, 17928, 202, 24014, 21009, 8529, 26837, 29339}"
X72,{'79888'},"{11105, 3009, 22307, 8673, 3329, 40359, 36523, 10061, 7030, 25463, 6778, 28634, 10459, 27710}","{11105, 3009, 22307, 8673, 3329, 40359, 36523, 10061, 7030, 25463, 6778, 28634, 10459, 27710}"
X79,{'27224'},"{11472, 20, 42357, 9272, 3898}","{11472, 20, 42357, 9272, 12041, 3898}"
X7a,{'82180'},"{20032, 28897, 26753, 15824, 25702, 60}","{20032, 28897, 26753, 15824, 25702, 60}"
X7b,{'79869'},"{3009, 22467, 4806, 38919, 391, 24659, 10459, 29788, 3677, 11105, 43810, 5602, 8673, 22501, 11245, 20973, 111, 19952, 4723}","{3009, 22467, 4806, 38919, 391, 24659, 10459, 29788, 3677, 11105, 43810, 5602, 8673, 22501, 11245, 20973, 111, 19952, 4723}"
X7c,{'54330'},"{22467, 7626, 204, 31952, 8529, 26837, 33303, 3677, 23014, 39593, 8427, 7343, 19440, 25906, 4723, 1076, 5111, 6778, 27710, 41791}","{22467, 7626, 204, 31952, 8529, 26837, 33303, 3677, 23014, 39593, 8427, 7343, 19440, 25906, 4723, 1076, 5111, 6778, 27710, 41791}"
X7d,"{'59965', '59964'}","{6880, 43930, 4934, 16008, 8339, 9557, 30426, 13757, 8351}","{6880, 43930, 4934, 16008, 8339, 9557, 30426, 13757, 8351}"
X85,{'673'},"{20977, 21014}","{20977, 21014}"
X88,{'37487'},"{36354, 11396, 19718, 33160, 5066, 34107, 15825, 26837, 28634, 29339, 31408, 45041, 25906, 36852, 7990, 3511, 21112, 9146, 4411, 41791}","{36354, 11396, 19718, 26630, 33160, 267, 21009, 29339, 43037, 29478, 31408, 14129, 25906, 21299, 34996, 7990, 3511, 9146, 4411, 24764, 34107, 41791, 4933, 5066, 24014, 15825, 26837, 12374, 28634, 18016, 230, 20973, 45041, 36852, 25463, 21112}"
X89,{'9699'},"{45041, 796}","{45041, 796, 252}"
