Node,Mutants,Unique Tests,Tests
X01,{'18241'},"{12389, 2257, 4216, 1210, 9053}","{2257, 12389, 9053, 1128, 1210, 4216, 4269}"
X03,{'2312'},"{12386, 8543}","{5281, 12386, 8947, 10900, 6374, 8348, 8543}"
X08,{'13772'},"{10970, 8474, 9107, 8543}","{5281, 6374, 8810, 8474, 9107, 10997, 10970, 8766, 8543}"
X09,{'6703'},"{801, 2594, 1635, 12263, 8298, 11979, 9103, 2228, 7989, 1460, 11447, 61, 607}","{801, 2594, 1635, 12263, 8298, 11979, 9103, 2228, 7989, 1460, 11447, 61, 607}"
Xe,{'19477'},"{8939, 9107, 6173}","{10886, 6374, 12360, 7305, 8939, 12368, 9107, 8947, 10997, 8341, 8474, 6173, 8766}"
X10,{'2291'},"{9018, 6173}","{6374, 12360, 7305, 9103, 12401, 8348, 8341, 8373, 8439, 9018, 9084, 6173}"
X15,{'9129'},"{3200, 1026, 6018, 3076, 5772, 11789, 4365, 9872, 1425, 7315, 6294, 10137, 9122, 5795, 10403, 5411, 9638, 5671, 6184, 9000, 9127, 6306, 37, 3502, 4142, 5809, 3633, 7859, 11447, 2106, 9916, 10179, 2123, 6097, 6995, 725, 6364, 5343, 10983, 7656, 3433, 7402, 361, 1518, 9717, 5237}","{3200, 1026, 6018, 3076, 5772, 11789, 4365, 9103, 9872, 1425, 7315, 6294, 10137, 9120, 9122, 5795, 10403, 5411, 9638, 5671, 6184, 9000, 9127, 6306, 37, 3502, 4142, 5809, 3633, 7859, 11447, 2106, 1850, 9916, 10179, 2123, 6097, 6995, 85, 725, 8439, 6364, 5343, 10983, 7656, 3433, 7402, 2536, 361, 1518, 12401, 9717, 5237, 4726}"
X17,{'19088'},{10886},"{8898, 10867, 10886, 8602, 9115}"
X1a,{'6198'},"{6410, 8379, 8461, 8543}","{8765, 6410, 8379, 8461, 8543}"
X26,{'5550'},"{3200, 1472, 1026, 2437, 7237, 5772, 7053, 11789, 4365, 6097, 9237, 85, 2016, 9638, 11302, 9000, 10983, 4142, 686, 1518, 1970, 9717, 5237, 1270}","{3200, 1472, 1026, 2437, 7237, 5772, 7053, 11789, 4365, 6097, 9237, 85, 2016, 9638, 11302, 9000, 10983, 4142, 686, 1518, 1970, 9717, 5237, 1270}"
X2f,{'2889'},"{9120, 8770, 8482, 9053}","{9120, 5281, 8770, 8482, 8810, 9053}"
X31,{'5870'},"{6173, 8373}","{8947, 8373, 10886, 7305, 6173}"
X37,{'36'},"{10970, 6173}","{5281, 12386, 6374, 7305, 8810, 8474, 8348, 10997, 10970, 9084, 6173, 8766}"
X38,{'8270'},"{6356, 6406}","{8353, 7305, 6356, 6406}"
X44,{'14896'},"{4848, 7402, 11796, 11447, 4360, 5802, 5339}","{4848, 7402, 11796, 11447, 4360, 5802, 5339}"
X4c,{'20580'},"{1025, 1026, 2754, 8136, 3912, 3083, 1868, 11796, 9237, 1812, 6935, 7383, 2016, 162, 11175, 8298, 2284, 8114, 6836, 2358, 1596, 5629, 1599}","{1025, 1026, 2754, 8136, 3912, 3083, 1868, 11796, 9237, 1812, 6935, 7383, 2016, 162, 11175, 8298, 2284, 8114, 6836, 2358, 1596, 5629, 1599}"
X50,{'14092'},{9018},"{5281, 8348, 10900, 10026, 9018, 8765, 8543}"
X52,{'6980'},"{12386, 9084}","{8353, 12386, 7305, 8458, 6410, 12401, 8947, 8439, 9018, 9084, 10941, 8766}"
