Node,Mutants,Unique Tests,Tests
X01,{'9490'},"{4958, 5028, 5133, 5014}","{4958, 5028, 5133, 5014}"
X03,{'903'},"{1330, 1515, 3222}","{1330, 1515, 3222}"
X05,{'8394'},{8412},{8412}
Xb,{'12036'},"{12442, 379}","{12442, 379}"
Xc,{'11938'},"{12373, 349}","{1118, 349, 12373, 4142}"
Xf,{'12053'},"{4129, 1220, 14533, 13551, 8848, 792, 1979, 349, 4189, 7871}","{4129, 1220, 14533, 13551, 8848, 792, 1979, 349, 4189, 7871}"
X10,{'12052'},"{8848, 488, 994, 4189}","{8848, 994, 4189, 488, 829}"
X11,{'12037'},"{8848, 4129, 3265, 1121, 3866, 1213}","{8848, 4129, 3265, 1121, 3866, 1213}"
X12,{'12035'},"{865, 1595, 5405}","{865, 1595, 5405}"
X13,{'520'},"{1754, 306, 10933}","{1754, 306, 10933}"
X17,{'3946'},{486},{486}
X19,{'709'},"{656, 417, 4632, 7771}","{656, 417, 2999, 4632, 7771}"
X1d,{'10122'},{1655},"{9761, 7963, 1655}"
X1e,{'3924'},{5716},{5716}
X1f,{'707'},"{241, 3182, 4718}","{241, 3182, 4718}"
X20,{'9306'},"{5084, 5012, 4987, 4958}","{5084, 5012, 4987, 4958}"
X23,"{'4154', '4153'}","{12612, 844, 6861, 6223, 14064, 6292, 13942, 11130}","{12612, 844, 6861, 6223, 14064, 6292, 405, 13942, 11130}"
X24,{'8066'},"{13409, 3716, 13677, 10001, 11157, 1621, 3674, 8927}","{13409, 12098, 3716, 13677, 143, 2896, 10001, 11157, 1621, 3674, 8927}"
X26,"{'9529', '9519'}","{5040, 4985, 4991}","{5040, 4985, 4991}"
X27,{'6507'},"{2099, 3348, 710, 13418, 13771, 1406}","{2099, 3348, 710, 13418, 13771, 1406}"
X28,{'2370'},"{14673, 1346, 969, 1751}","{14673, 1346, 969, 1751}"
X29,{'6508'},"{9882, 2015, 2238, 5431}","{9882, 2015, 2238, 5431}"
X2a,{'11176'},"{9080, 13493}","{9080, 13493}"
X2b,{'9255'},"{3968, 8793, 1001}","{3968, 8793, 1001}"
X2c,{'7313'},"{6133, 871, 7578, 3774, 6862}","{6133, 871, 7578, 3774, 6862}"
X2d,{'9127'},"{706, 1645}","{706, 1645}"
X2e,{'11407'},"{4666, 12659}","{4666, 12659}"
X2f,{'3333'},"{12677, 14767}","{12677, 14767}"
X31,{'215'},"{5156, 8938, 4619, 4558, 2287}","{5156, 8938, 4619, 4558, 2287}"
X32,{'9068'},{13083},"{49, 13083}"
X33,{'11406'},{876},{876}
X34,{'6988'},"{3522, 2818, 2055, 5256, 13677, 2575, 17, 3666, 2938, 2555, 1850, 2173, 8927}","{3522, 2818, 2055, 5256, 13677, 2575, 17, 3666, 2938, 2555, 1850, 2173, 8927}"
X37,{'11671'},"{1113, 2209}","{1113, 2209}"
X39,{'9470'},"{4962, 5052}","{4962, 5052}"
X3a,{'9450'},"{5017, 5028, 5133, 5014}","{5017, 5028, 5133, 5014}"
X3b,{'9487'},{4985},"{5040, 4985, 5017}"
X3c,{'10406'},{2607},{2607}
X3d,{'6994'},"{596, 4462}","{596, 4462}"
X41,{'10147'},"{1985, 4609, 8899, 3223, 8905}","{1985, 4609, 8899, 3223, 8905}"
X43,{'59'},"{4021, 7046, 7001, 1291, 11245, 3838}","{4021, 7046, 7001, 1291, 11245, 3838}"
X47,{'10791'},"{160, 8660}","{160, 8660}"
X48,{'11806'},"{4129, 2273, 1988, 1991, 1485, 2196, 3866, 4189}","{4129, 2273, 1988, 1991, 1485, 2196, 3866, 4189}"
X4b,{'7213'},"{705, 770, 5539, 6506, 7165, 13438, 3919}","{705, 770, 5539, 6506, 7165, 13438, 3919}"
X4c,{'1734'},"{1064, 753}","{1064, 753}"
X4e,{'10281'},"{3666, 2067, 5149, 2550, 2055, 13677, 8927}","{3666, 2067, 5149, 2550, 2055, 13677, 8927}"
X4f,{'642'},"{3716, 2628, 2831, 2896, 10001, 1621, 1366, 3674, 12444, 8927, 13087, 13409, 13677, 9647, 498, 9720, 2302}","{3716, 2628, 2831, 2896, 10001, 1621, 1366, 3674, 12444, 8927, 13087, 13409, 13677, 9647, 498, 9720, 2302}"
X53,{'3995'},{231},{231}
X5a,{'10702'},"{2467, 4397, 1507}","{2467, 4397, 1507}"
X5b,{'11838'},"{1826, 1563}","{1826, 1563}"
X5d,{'3220'},"{5137, 5100, 4982, 5023}","{5137, 5100, 4982, 5023}"
X5e,"{'9400', '9429'}","{5137, 5100, 5005, 5023}","{5137, 5100, 5005, 5023}"
X61,{'8919'},{3377},{3377}
X63,{'8441'},"{4073, 12411, 14669, 370, 831, 761, 1307, 10399}","{4073, 12411, 14669, 370, 831, 761, 1307, 10399}"
X66,"{'1254', '1253'}",{11245},"{5954, 12612, 11245, 1326, 6223, 942, 243, 6292, 13942}"
X6f,{'8861'},"{5872, 1936, 1309}","{5872, 2177, 1309, 1936}"
X71,"{'8696', '8695'}","{6292, 3124}","{939, 6292, 3124}"
X72,{'8917'},"{803, 196, 5465, 10794, 11130}","{803, 196, 5465, 10794, 11130}"
X73,{'12012'},"{994, 258, 13604, 14533, 4075, 1452, 13551, 5910, 792, 1979, 8253}","{994, 258, 13604, 14533, 4075, 1452, 13551, 5910, 792, 1979, 8253}"
X74,{'6368'},"{4089, 8147}","{4089, 8147}"
X75,{'9213'},"{5148, 5181, 8646}","{5148, 5181, 8646}"
X77,{'9186'},"{613, 2927, 5138, 895, 13083, 14271}","{13083, 5138, 613, 895, 14271, 939, 2927}"
X78,{'10382'},"{4552, 7650, 2272}","{4552, 7650, 2272}"
X79,{'6838'},"{3716, 2953, 2831, 10001, 11157, 2200, 2715, 12444, 1820, 5149, 13087, 2349, 13102, 9647, 308, 5696, 11584, 12098, 2628, 8269, 2896, 13525, 11482, 3674, 8925, 8927, 13409, 3436, 13677, 10221, 3058, 9720}","{3716, 2953, 2831, 10001, 11157, 2200, 2715, 12444, 1820, 5149, 13087, 2349, 13102, 9647, 308, 5696, 11584, 12098, 2628, 8269, 2896, 13525, 11482, 3674, 8925, 8927, 13409, 3436, 13677, 10221, 3058, 9720}"
X7b,{'11273'},"{11584, 2628, 2953, 170, 2862, 2831, 3058, 11482, 2715, 12444, 13087}","{11584, 2628, 2953, 170, 2862, 2831, 3058, 11482, 2715, 12444, 13087}"
X7f,{'8026'},"{13525, 13409, 13677, 1366}","{13409, 3716, 1468, 13677, 2896, 10001, 498, 13525, 11157, 1366, 3674, 1820, 8927}"
X82,{'10764'},{1271},"{1980, 1271}"
X86,{'4015'},"{13291, 1966}","{13291, 6132, 2998, 1966}"
X88,{'4590'},"{8906, 9851, 4675}","{8906, 9851, 4675}"
X8b,{'11405'},{9129},{9129}
X8e,"{'8942', '8941'}","{714, 1165, 3070}","{1165, 714, 2053, 3070}"
X93,{'9496'},"{5048, 5050}","{5048, 5050}"
X94,"{'5281', '5280'}",{4985},"{4985, 5110, 5137}"
X95,"{'6244', '6243'}","{12612, 844, 5137, 6292, 13942, 4985}","{12612, 742, 844, 14064, 5137, 6292, 405, 13942, 4985, 11130, 3070}"
X9f,{'11752'},"{1414, 9919}","{1414, 9919}"
Xa0,"{'260', '259'}","{1251, 1124, 710, 1046, 536, 4985, 891, 13695}","{1251, 1124, 710, 1046, 536, 4985, 891, 13695}"
Xa1,"{'9507', '9506', '9504'}","{5040, 4985, 5044}","{5040, 4985, 5044}"
Xa2,{'9471'},"{4977, 5140}","{4977, 5140}"
Xa3,{'1293'},"{770, 5539, 727, 1259, 7439, 7159, 7578, 7165}","{770, 5539, 727, 1259, 7439, 7159, 7578, 7165}"
Xa5,{'3663'},"{1371, 2860, 646}","{1371, 646, 2860, 10262}"
Xa8,{'4487'},"{4632, 4682, 4642}","{4632, 4682, 4642}"
Xa9,{'2697'},{5012},"{5090, 5012, 5015, 4972, 5023}"
Xaa,{'2585'},"{5137, 5100, 5023}","{5137, 5034, 5100, 5023}"
Xab,{'2684'},"{14080, 13129, 11114, 2349, 3821, 13677, 13525, 14780, 13695}","{14080, 1536, 14339, 7, 7947, 10637, 9723, 2200, 13213, 10399, 8226, 420, 2349, 7736, 9912, 8762, 14780, 1725, 70, 2502, 13129, 14669, 8269, 78, 80, 13525, 2277, 4073, 11114, 3819, 3821, 1517, 13677, 9583, 4596, 12411, 13695}"
