input_file_id,hashname,input_file,timestamp
1,88ba282f837f5d99a6793f36e5d1fdf164ae5f58,<seed_entry>,1705584536.920604
2,589d2c1003bc5aecb8a845da143bb199abcc4ec8,"id:512,fuzzer:honggfuzz,instance:0,orig:ee009b09e780000057592bd0ee000000.00000005.honggfuzz.cov",1705584943.852381
3,d35e3568fd378f16a94919f0e537e3ff5454e7f3,"id:482,fuzzer:honggfuzz,instance:0,orig:a1ba6d437655a792db0dbabbc63742b2.00000081.honggfuzz.cov",1705584943.848381
4,48d2152c1c32e76983d28b6c0f2982c749b6530e,"id:117,fuzzer:radamsa,instance:0,orig:id:000065,src:000000+000016,time:21689,execs:23100,op:havoc,rep:8,+cov",1705584564.0036755
5,038e372f88ab6bae09ce2237bfa3dabb001d4fe2,"id:98,fuzzer:radamsa,instance:0,orig:id:000014,src:000000+000005,time:15595,execs:9259,op:radamsa-mutator.so,pos:0,+cov",1705584564.0036755
6,1ffaefcb4a2e8aa0f353ee09938e884acb13f650,"id:136,fuzzer:radamsa,instance:0,orig:id:000060,src:000000+000016,time:21637,execs:20656,op:havoc,rep:4",1705584564.0596762
7,7472f34df6780c246db1b8ca799d4c395c7c0b39,"id:310,fuzzer:honggfuzz,instance:0,orig:7659bf1b660c26137d851ae82846c837.00000017.honggfuzz.cov",1705584606.3081276
8,2995d37e2030b2cc61504f34d7c2d86e7130519a,"id:434,fuzzer:honggfuzz,instance:0,orig:858063cd69a6de6788689ce1914aa454.00000026.honggfuzz.cov",1705584713.0012412
9,fff0a7a7942093de50c4ac684b070319591aacf4,"id:17,fuzzer:aflfast,instance:0,orig:id:000006,src:000000,op:havoc,rep:4,+cov",1705584539.867401
10,196c72f0016326afeff571e596ed8183060aaa71,"id:92,fuzzer:radamsa,instance:0,orig:id:000031,src:000000+000016,time:21502,execs:14576,op:havoc,rep:4",1705584564.0036755
11,be1a21693946885c4ecc758a0ce388cfa04067a0,"id:19,fuzzer:fairfuzz,instance:0,orig:id:000001,src:000000,op:havoc,rep:2,+cov",1705584540.0034022
12,34b1a0672b8cc48aa356706979369fbcb36e3665,"id:559,fuzzer:afl,instance:0,orig:id:000281,src:000280,op:havoc,rep:2",1705585243.1007717
13,e5c3b886b827ee6d23048a2f929874c7c330ac84,"id:78,fuzzer:mopt,instance:0,orig:id:000013,src:000000,time:500,execs:24540,op:MOpt_havoc,rep:16,+cov",1705584541.9834244
14,1300c7b51d913e2b6de6fb260f2daab55852f21b,"id:350,fuzzer:lafintel,instance:0,orig:id:000186,src:000091,time:48492,execs:110829,op:havoc,rep:3",1705584615.2922235
