Node,Mutants,Unique Tests,Tests
X01,{'2319'},{1513},{1513}
X02,{'2184'},"{256, 67, 1542, 717, 334, 1040, 80, 208, 788, 1240, 1052, 1440, 1569, 674, 362, 238, 1583, 111, 757, 56, 1722, 1662}","{256, 67, 1542, 717, 334, 1040, 80, 208, 788, 1240, 1052, 1440, 1569, 674, 362, 238, 1583, 111, 757, 56, 1722, 1662}"
X04,{'2308'},"{256, 1040, 309, 362, 1052, 238}","{256, 1040, 309, 362, 1052, 238}"
X06,{'1284'},"{177, 220, 293}","{177, 220, 293}"
X07,{'1044'},"{832, 720, 1040, 598, 444, 1052}","{832, 720, 1040, 598, 444, 1052}"
X08,{'2221'},"{1003, 395}","{1003, 395}"
Xc,{'1260'},"{256, 201, 283, 208, 788, 1722, 379, 28}","{256, 201, 283, 208, 788, 1722, 379, 28}"
Xd,{'1134'},"{1072, 1137, 1170, 575}","{518, 649, 1289, 1170, 21, 728, 541, 545, 1571, 1635, 1255, 1387, 1072, 1137, 1207, 1657, 575}"
Xe,{'1128'},"{1153, 963, 836, 649, 1162, 1289, 1361, 1299, 1688, 728, 541, 415, 1700, 1255, 1387, 1072, 1137, 1015, 1333, 1207, 1145, 508, 509}","{1153, 963, 836, 649, 1162, 1289, 1361, 1299, 1688, 728, 541, 415, 1700, 1255, 1387, 1072, 1137, 1015, 1333, 1207, 1145, 508, 509}"
X10,{'1148'},{630},{630}
X11,{'1232'},"{1153, 1155, 643, 836, 1159, 1289, 1162, 1170, 1299, 540, 284, 415, 548, 1255, 1001, 1387, 1137, 1015, 1333, 1207, 1145, 1148, 382, 575}","{1153, 1155, 643, 836, 1159, 1289, 1162, 1170, 1299, 540, 284, 415, 548, 1255, 1001, 1387, 1137, 1015, 1333, 1207, 1145, 1148, 382, 575}"
X13,{'947'},"{705, 836}","{1281, 705, 963, 1700, 836, 171, 1452, 1361, 1719, 1688, 187, 508}"
X15,{'1129'},"{705, 836, 261, 456, 1289, 1688, 857, 733, 98, 1700, 1255, 1387, 1137, 1719, 1207, 639}","{705, 836, 261, 456, 1289, 1688, 857, 733, 98, 1700, 1255, 1387, 1137, 1719, 1207, 639}"
X18,{'2816'},"{513, 497, 1557, 381, 62}","{513, 497, 1557, 381, 62}"
X1e,{'2337'},"{392, 263}","{392, 263}"
X1f,{'2720'},"{256, 388, 710, 717, 1040, 80, 1240, 1052, 93, 1440, 1569, 1130, 362, 44, 111, 1648, 1395, 505, 1722, 1535}","{256, 388, 710, 717, 1040, 80, 1240, 1052, 93, 1440, 1569, 1130, 362, 44, 111, 1648, 1395, 505, 1722, 1535}"
X23,{'943'},{1072},"{1281, 963, 836, 518, 649, 1361, 1170, 21, 728, 1688, 541, 545, 1700, 171, 1452, 1072, 1719, 508}"
X24,{'422'},"{709, 1255, 1130, 1557, 62}","{1571, 1635, 709, 710, 455, 1255, 1130, 1099, 497, 434, 1557, 1015, 1657, 62}"
X25,{'2291'},{1016},{1016}
X2c,{'2506'},"{643, 518, 1255, 142, 415}","{643, 518, 1255, 142, 415}"
X34,"{'95', '1227', '1228', '94'}","{256, 513, 1153, 1155, 1542, 1159, 1162, 266, 1040, 1657, 788, 1557, 1052, 1440, 1569, 674, 1571, 932, 1583, 1593, 1722, 58, 62, 832, 65, 709, 710, 455, 1099, 717, 334, 720, 1240, 601, 736, 864, 1635, 1255, 362, 1130, 238, 111, 1648, 1395, 757, 1015, 1145, 1148, 381, 1662, 1535}","{256, 513, 1153, 1155, 1542, 1159, 1162, 266, 1040, 1657, 788, 1557, 1052, 1440, 1569, 674, 1571, 932, 1583, 1593, 1722, 58, 62, 832, 65, 709, 710, 455, 1099, 717, 334, 720, 1240, 601, 736, 864, 1635, 1255, 362, 1130, 238, 111, 1648, 1395, 757, 1015, 1145, 1148, 381, 1662, 1535}"
X37,{'2566'},{1489},{1489}
X3b,{'2461'},"{1153, 1155, 1159, 1289, 1162, 1170, 21, 1688, 284, 541, 540, 415, 1700, 1255, 1387, 1015, 372, 1333, 1719, 1145, 1148}","{1153, 1155, 1159, 1289, 1162, 1170, 21, 1688, 284, 541, 540, 415, 1700, 1255, 1387, 1015, 372, 1333, 1719, 1145, 1148}"
X3c,{'1032'},"{256, 418, 165, 362, 717, 720, 1040, 1395, 53, 539, 1052, 510}","{256, 418, 165, 362, 717, 720, 1040, 1395, 53, 539, 1052, 510}"
X3d,{'1153'},"{641, 476, 324, 623}","{641, 476, 324, 623}"
X40,{'429'},"{432, 434, 83, 1099, 44, 77, 734}","{432, 434, 83, 1099, 44, 77, 734}"
X41,{'1035'},"{1440, 1155, 67, 267, 78, 111, 1648, 1583, 52, 1240, 601}","{1440, 1155, 67, 267, 78, 111, 1648, 1583, 52, 1240, 601}"
X43,{'1171'},"{256, 832, 1145, 4, 1159, 1162, 362, 717, 238, 1040, 720, 1395, 1593, 1052, 1662}","{256, 1153, 1155, 4, 1542, 1159, 1162, 266, 1040, 788, 1052, 1440, 1569, 674, 1583, 1593, 1722, 58, 832, 67, 717, 334, 720, 80, 1240, 601, 736, 362, 238, 111, 1648, 1395, 1145, 1148, 1662, 1535}"
X46,{'2783'},"{16, 587, 262, 270}","{16, 587, 262, 270}"
